"filename", "language", "XML", "Batch", "Markdown", "SQL", "Java", "Properties", "HTML", "Python", "comment", "blank", "total"
"/home/mdd/文档/电医预约程序/zjgsu pc doctor/.mvn/wrapper/maven-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"/home/mdd/文档/电医预约程序/zjgsu pc doctor/README.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 0, 6, 13
"/home/mdd/文档/电医预约程序/zjgsu pc doctor/mvnw.cmd", "Batch", 0, 102, 0, 0, 0, 0, 0, 0, 51, 36, 189
"/home/mdd/文档/电医预约程序/zjgsu pc doctor/pom.xml", "XML", 60, 0, 0, 0, 0, 0, 0, 0, 0, 8, 68
"/home/mdd/文档/电医预约程序/zjgsu pc doctor/python/roboot_send_mesg.py", "Python", 0, 0, 0, 0, 0, 0, 0, 17, 0, 3, 20
"/home/mdd/文档/电医预约程序/zjgsu pc doctor/python/test_delete.py", "Python", 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"/home/mdd/文档/电医预约程序/zjgsu pc doctor/python/test_query.py", "Python", 0, 0, 0, 0, 0, 0, 0, 6, 1, 3, 10
"/home/mdd/文档/电医预约程序/zjgsu pc doctor/python/test_roboot.py", "Python", 0, 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
"/home/mdd/文档/电医预约程序/zjgsu pc doctor/python/test_submit.py", "Python", 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"/home/mdd/文档/电医预约程序/zjgsu pc doctor/python/test_update.py", "Python", 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"/home/mdd/文档/电医预约程序/zjgsu pc doctor/sql/appointment_table.sql", "SQL", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"/home/mdd/文档/电医预约程序/zjgsu pc doctor/sql/message_table.sql", "SQL", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"/home/mdd/文档/电医预约程序/zjgsu pc doctor/sql/user_table.sql", "SQL", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/home/mdd/文档/电医预约程序/zjgsu pc doctor/src/main/java/com/example/HelloController.java", "Java", 0, 0, 0, 0, 76, 0, 0, 0, 0, 3, 79
"/home/mdd/文档/电医预约程序/zjgsu pc doctor/src/main/java/com/example/UserController.java", "Java", 0, 0, 0, 0, 8, 0, 0, 0, 1, 2, 11
"/home/mdd/文档/电医预约程序/zjgsu pc doctor/src/main/resources/application.properties", "Properties", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"/home/mdd/文档/电医预约程序/zjgsu pc doctor/src/main/resources/templates/home.html", "HTML", 0, 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
"/home/mdd/文档/电医预约程序/zjgsu pc doctor/src/main/resources/templates/upload.html", "HTML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"/home/mdd/文档/电医预约程序/zjgsu pc doctor/src/test/java/com/example/demo/DemoApplicationTests.java", "Java", 0, 0, 0, 0, 9, 0, 0, 0, 0, 5, 14
"Total", "-", 60, 102, 7, 35, 93, 17, 39, 51, 53, 88, 545